의도,문장,답변,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절
추천,대경권에서 추천해줘,"대경권에서 트렌디하게 즐기는 메뉴로 ‘[쌉 : SAAP] 인기 밀키트 4종 (택1)’, ‘[고트델리] 애플 베이컨 샌드위치’, ‘[심플잇] 포켓 누룽지 3종 (택1)’를 추천합니다.",,,,,,,,"[쌉 : SAAP] 인기 밀키트 4종 (택1), [고트델리] 애플 베이컨 샌드위치, [심플잇] 포켓 누룽지 3종 (택1)",,,,,,,,,,
추천,5인 이상에서 잘 팔리는 상품은?,"5인 이상에서 한 끼 해결하기 좋은 메뉴로 ‘[LITTLENECK] 리틀넥 가리비 바질 크림 리조또’, ‘[메디쏠라] 당뇨케어 식단 도시락 10종 (택1)’, ‘[한끼통살] 곤약현미 볶음밥 5종 (택1)’를 추천드려요.",,,,5인 이상,,,,"[LITTLENECK] 리틀넥 가리비 바질 크림 리조또, [메디쏠라] 당뇨케어 식단 도시락 10종 (택1), [한끼통살] 곤약현미 볶음밥 5종 (택1)",,,,,5인 이상,,,,,
추천,60대에서 무엇이 좋을까?,"60대에서 인기있는 메뉴로 ‘[올반] 모짜체다 찰 핫도그 400g(80gX5개입)’, ‘[락희옥]김치말이국수(2인분)’, ‘[취영루] 육즙가득 그시절 물만두’를 추천드려요.",60대,,,,,,,"[올반] 모짜체다 찰 핫도그 400g(80gX5개입), [락희옥]김치말이국수(2인분), [취영루] 육즙가득 그시절 물만두",,60대,,,,,,,,
추천,세종에서 추천해줘,"세종에서 요즘 가장 많이 찾는 메뉴는 ‘[금미옥] 닭볶이 (닭갈비 떡볶이)’, ‘[석관동 떡볶이] 치즈 쭈욱 떡볶이’, ‘[모던구루] 그래놀라 6종 (택1)’예요.",,,세종,,,,,"[금미옥] 닭볶이 (닭갈비 떡볶이), [석관동 떡볶이] 치즈 쭈욱 떡볶이, [모던구루] 그래놀라 6종 (택1)",,,,세종,,,,,,
트렌드,40대 소비 트렌드는?,40대에선 빠르고 간편하게 먹을 수 있는 메뉴가 주목받고 있어요.,40대,,,,,,,,,40대,,,,,,,,
추천,인천에서 추천해줘,"인천에서는 ‘[My little recipe] 안동에서 올라온 전통찜닭 (2인용)’, ‘[사리원] 왕만두전골’, ‘[하림] The미식 손만두 3종 (2개입) (택1)’가 만족도가 높아요.",,,인천,,,,,"[My little recipe] 안동에서 올라온 전통찜닭 (2인용), [사리원] 왕만두전골, [하림] The미식 손만두 3종 (2개입) (택1)",,,,인천,,,,,,
추천,경기에서 무엇이 좋을까?,"경기에서는 최근 ‘[2개 사면 30%] 우주인피자 인기 피자 2종’, ‘[설탕대신] 스테비아 과일잼 3종 (택1)’, ‘[형제닭발] 국물 무뼈 닭발’가 인기 급상승 중입니다.",,,경기,,,,,"[2개 사면 30%] 우주인피자 인기 피자 2종, [설탕대신] 스테비아 과일잼 3종 (택1), [형제닭발] 국물 무뼈 닭발",,,,경기,,,,,,
추천,1월에서 추천해줘,"1월의 베스트셀러 메뉴는 ‘[금룡각] 마라탕’, ‘[포차안주] 불맛 오돌뼈 볶음’, ‘[라비퀸] 오리지널 떡볶이’입니다.",,,,,1월,,,"[금룡각] 마라탕, [포차안주] 불맛 오돌뼈 볶음, [라비퀸] 오리지널 떡볶이",,,,,,1월,,,,
추천,다이어트에서 인기 있는 메뉴는?,"다이어트에서는 ‘[모던구루] 그래놀라 6종 (택1)’, ‘[샐러드판다] 판다의 부라타치즈 샐러드’, ‘[미자언니네] 감자달걀 샐러드’가 꾸준히 인기예요.",,,,,,,,"[모던구루] 그래놀라 6종 (택1), [샐러드판다] 판다의 부라타치즈 샐러드, [미자언니네] 감자달걀 샐러드",,,,,,,,,,
추천,강원에서 잘 팔리는 상품은?,"강원 고객님들께 ‘[백채김치찌개] 김치볶음밥 2개입’, ‘[차알] 계란볶음밥 (2인분)’, ‘[라비퀸] 매콤 까르보나라 떡볶이’를 추천합니다.",,,강원,,,,,"[백채김치찌개] 김치볶음밥 2개입, [차알] 계란볶음밥 (2인분), [라비퀸] 매콤 까르보나라 떡볶이",,,,강원,,,,,,
추천,10대에서 무엇이 좋을까?,"10대에서 인기있는 메뉴로 ‘[안원당] 부산식 돼지국밥’, ‘[일가집] 비타 김밥 단무지 400g’, ‘[그리팅] 대구식 칼비빔면&납작만두’를 추천드려요.",,,,,,,,"[안원당] 부산식 돼지국밥, [일가집] 비타 김밥 단무지 400g, [그리팅] 대구식 칼비빔면&납작만두",,,,,,,,,,
추천,가족에서 잘 팔리는 상품은?,"가족에서 ‘[삼립] 몬테크리스토 토스트 에그 소시지 (3개입)’, ‘[포스트] 에너지바 3종 골라담기 (택3)’, ‘[이바돔] 매운뼈찜맛 볶음밥 (2개입)’ 메뉴가 특히 인기가 많아요.",,,,가족,,,,"[삼립] 몬테크리스토 토스트 에그 소시지 (3개입), [포스트] 에너지바 3종 골라담기 (택3), [이바돔] 매운뼈찜맛 볶음밥 (2개입)",,,,,,,,,,
