상품명,평균예측평점,리뷰수,대표이미지
[1+1][바람의 핫도그] 청양 테이스티 400g (100gX4개입),4.2,4,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/8f39f47e-1d16-49e1-bfab-5a809ecfa8f8.jpg
[1+1][바람의 핫도그] 치즈&포크 400g (100gX4개입),4.8,11,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/bcaa9982-2d9b-4d11-983d-5b49301b76fa.jpg
[1+1][바람의 핫도그] 포크 오리지널 400g (100gX4개입),4.0,6,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/58383ffc-1ab3-4cd1-ae3c-cb46b46bf2d6.jpg
[1+1][풀무원] 노엣지 토마토&미트콤보,4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/788e1c84-c963-4599-a3b6-5a4bf9e2b703.jpg
[11시 45분] 고추장비빔밥 비건 곤약김밥 (2개입),4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/7bd8a473-c1e4-499f-8f51-fb40b8e650c0.jpg
[11시 45분] 우엉유부 비건 곤약김밥 (2개입),4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/876cbc3f-d9e5-4c93-a472-ed619f917723.jpg
[11시 45분] 일품잡채 비건 곤약김밥 (2개입),4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/0412084a-3995-40bb-a833-1aaadb038d16.jpg
[11시 45분] 톳두부 비건 곤약김밥 (2개입),4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/df6ee371-347f-4728-abad-7793d2d73fbc.jpg
[11시 45분] 포두부 야채말이 비건 곤약김밥 (2개입),4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b2c3f3b5-5325-48be-aac8-efbf046e62bd.jpg
[1999 옛날] 홍대 떡볶이,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/43f4ca9f-512e-4e49-b3ee-ca49105f8e94.jpg
[23성화루] 마늘쫑면,3.8,93,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/02b25961-5d9b-40a0-ad96-96aacfb5d013.jpg
[2개 사면 30%] 우주인피자 인기 피자 2종,4.7,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1649143034927l0.jpg
[2개 사면 50%][고메] 오리지널 핫도그 400g(80gX5개입),4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c43871bf-411d-475d-bea1-67e4feb71ab7.jpg
[2개 사면 50%][고메] 치즈크리스피 핫도그 340g(85gX4개입),4.8,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b54e8a60-1d97-43bd-9866-79233cc1b5da.jpg
[2개 사면 50%][고메] 크리스피 핫도그 400g(80gX5개입),4.8,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6bcdbae0-f35b-431e-aca2-0fe7499a511a.jpg
[2개사면 1만원]비비고 통새우만두 200g,4.5,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/e4fff538-8d7c-40af-ab70-8a6d3474974c.jpg
[3개사면 1만원][비비고] 진한 김치고기만두 200g,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c63d924e-2d2c-4133-a789-1cb56dfefc65.jpg
[3개사면 1만원][비비고] 청양 고기만두 200g,4.6,400,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/321ee2a8-1a2c-4f4e-8293-ed2cf1f69486.jpg
[3개사면 33%][Chai797] 샤오롱바오,4.4,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/4f11c02d-4c13-4a12-b15c-2afafc88fe8e.png
[3개이상 구매시 33%][전주 베테랑] 칼국수,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/93e02bd6-4eb9-4a43-af19-0161d1799c01.jpg
[55년 전통 종로 계림] 마늘 닭도리탕,3.6,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1653034847487l0.jpeg
[99치킨] 두 마리 & 윙봉 콤보 (택1),4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f035f9b8-a411-4fea-9834-7c2e9d138029.jpg
[99치킨] 마라 순살 닭강정,4.3,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6cc70d05-719f-48d7-9de6-39cd062afd05.jpg
[99치킨] 순살 닭강정,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/95458f15-1a5a-43c3-963e-38d6282a34be.jpg
[99핫도그] 크리스피 핫도그 800g(80gX10개입) 2종 (택1),4.8,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/19293180-6537-4922-b54e-42a036c9b987.jpg
[BHC] 치킨텐더 2종,4.7,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c0b9e6f6-ad5e-4c92-aa3f-0a41c094c8d9.jpg
[CJ] 가쓰오 메밀소바 (4인분),4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a2ab794c-59b9-47b6-b0d2-3cacde934f72.jpg
[CJ] 가쓰오우동 2인분+얼큰우동 2인분,4.8,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3f73c6a1-28be-43e1-9374-9f47f9564485.jpg
[CJ] 가쓰오우동 2인분+튀김우동 2인분,4.6,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/a81ce757-c480-4d1f-8935-0aa012792b5c.jpg
[CJ] 가쓰오우동 4인분,4.8,400,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/44bcecc4-366c-471c-a97d-015a2e8233d1.jpg
"[CJ] 동치미 물냉면 1,816g (4인분)",4.7,400,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/6b775c61-57ab-4046-8ee8-d0f81981c3ba.jpg
"[CJ] 동치미 물냉면 2인분+ 함흥 비빔냉면 2인분 (총1,382.4g)",4.7,400,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/02408799-93cf-4b26-b0a3-b6faef177e81.jpg
[CJ] 매콤달콤 생쫄면 (4인분),4.8,100,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1652852187228l0.jpg
[CJ] 숯불향 닭강정,4.3,100,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/f659a567-69a9-4030-8373-5c7f990769a5.jpg
